"17"," Affiliates.    We may share information within our family of affiliated companies.  ","Receive/Shared with"
"18"," Business Partners.    We may also share your information with business partners to provide you with services that you request. For example, if you sign up for a promotion that runs on our Services but that is sponsored or co-sponsored by another company, your information may be shared with that sponsor. The Washington Post is not responsible for the privacy practices of these entities.  ","Receive/Shared with"
"18"," Business Partners.    We may also share your information with business partners to provide you with services that you request. For example, if you sign up for a promotion that runs on our Services but that is sponsored or co-sponsored by another company, your information may be shared with that sponsor. The Washington Post is not responsible for the privacy practices of these entities.  ","Receive/Shared with"
"18"," Business Partners.    We may also share your information with business partners to provide you with services that you request. For example, if you sign up for a promotion that runs on our Services but that is sponsored or co-sponsored by another company, your information may be shared with that sponsor. The Washington Post is not responsible for the privacy practices of these entities.  ","Receive/Shared with"
"18"," Business Partners.    We may also share your information with business partners to provide you with services that you request. For example, if you sign up for a promotion that runs on our Services but that is sponsored or co-sponsored by another company, your information may be shared with that sponsor. The Washington Post is not responsible for the privacy practices of these entities.  ","Receive/Shared with"
"19"," Service Providers.    We may share information with vendors providing contractual services to us, such as hosting vendors, advertising service providers, and list managers. We also may share your information, including your payment information, as appropriate to process your payments for the Services or complete a transaction.  ","Receive/Shared with"
"19"," Service Providers.    We may share information with vendors providing contractual services to us, such as hosting vendors, advertising service providers, and list managers. We also may share your information, including your payment information, as appropriate to process your payments for the Services or complete a transaction.  ","Receive/Shared with"
"19"," Service Providers.    We may share information with vendors providing contractual services to us, such as hosting vendors, advertising service providers, and list managers. We also may share your information, including your payment information, as appropriate to process your payments for the Services or complete a transaction.  ","Receive/Shared with"
"19"," Service Providers.    We may share information with vendors providing contractual services to us, such as hosting vendors, advertising service providers, and list managers. We also may share your information, including your payment information, as appropriate to process your payments for the Services or complete a transaction.  ","Receive/Shared with"
"20"," Other Parties When Required by Law or As Necessary to Protect Our Users and Services.    We may share your personal information as we believe is necessary or appropriate to protect, enforce, or defend the legal rights, privacy, safety, or property of the Services, our employees or agents or users or to comply with applicable law or legal process, including responding to requests from public and government authorities.  ","Receive/Shared with"
"21"," Logging In Through Social Media Services.    If you log into the Services with a social media service or if you connect a social media account with the Services, we may share your information with that social media service. The social media services use of the shared information will be governed by the social media services privacy policy and your social media account settings. If you do not want your information shared in this way, do not connect your social media service account with your Services.  ","Receive/Shared with"
"22"," Third Parties that Provide Content, Advertising, or Functionality.    Some of the content, advertising, and functionality on our Services may be provided by third parties, such as our advertisers. These third-parties may collect or receive certain information about your use of the Services, including through the use of cookies, beacons, and similar technologies, and this information may be combined with information collected across different websites and online services.  ","Receive/Shared with"
"22"," Third Parties that Provide Content, Advertising, or Functionality.    Some of the content, advertising, and functionality on our Services may be provided by third parties, such as our advertisers. These third-parties may collect or receive certain information about your use of the Services, including through the use of cookies, beacons, and similar technologies, and this information may be combined with information collected across different websites and online services.  ","Collect on first party website/app"
"22"," Third Parties that Provide Content, Advertising, or Functionality.    Some of the content, advertising, and functionality on our Services may be provided by third parties, such as our advertisers. These third-parties may collect or receive certain information about your use of the Services, including through the use of cookies, beacons, and similar technologies, and this information may be combined with information collected across different websites and online services.  ","Other"
"23"," Other Parties in Connection With a Corporate Transaction.    We reserve the right to transfer any information we have about you in the event that we sell or transfer all or a portion of our business or assets to a third party, such as in the event of a merger, acquisition, or in connection with a bankruptcy reorganization.  ","Receive/Shared with"
"24"," Otherwise With Your Consent or At Your Direction.    In addition to the sharing described in this Privacy Policy, we may share information about you with third parties whenever you consent to or direct such sharing.  ","Receive/Shared with"
"25"," Aggregated Data.    We also may provide aggregated data about how users are using our Services to third parties.  ","Receive/Shared with"
"36"," Online Tracking & Advertising     How We Use Cookies, Web Beacons, and Similar Technologies and How To Disable These Technologies    We and third parties that provide content, advertising, or functionality on our Services, may use cookies, web beacons, and similar technologies to facilitate administration and navigation on the Site, to better understand and improve our Services, to determine and improve the advertising shown to you here or elsewhere, and to provide you with a customized online experience.  ","Track on first party website/app"
"37"," Cookies.    Cookies are small files that are placed on your computer when you visit a website. Cookies may be used to store a unique identification number tied to your computer or device so that you can be recognized as the same user across one or more browsing sessions, and across one or more sites. Cookies serve many useful purposes. For example:     Cookies can remember your sign-in credentials so you do not have to enter those credentials each time you visit a Service     Cookies can help us and third parties understand which parts of our Services are the most popular because they help us see which pages and features visitors access and how much time they spend on the pages. By studying this kind of information, we are better able to adapt our Services and provide you with a better experience.     Cookies help us and third parties understand which ads you have seen so that you dont receive the same ad each time you access a Service.  ","Track on first party website/app"
"37"," Cookies.    Cookies are small files that are placed on your computer when you visit a website. Cookies may be used to store a unique identification number tied to your computer or device so that you can be recognized as the same user across one or more browsing sessions, and across one or more sites. Cookies serve many useful purposes. For example:     Cookies can remember your sign-in credentials so you do not have to enter those credentials each time you visit a Service     Cookies can help us and third parties understand which parts of our Services are the most popular because they help us see which pages and features visitors access and how much time they spend on the pages. By studying this kind of information, we are better able to adapt our Services and provide you with a better experience.     Cookies help us and third parties understand which ads you have seen so that you dont receive the same ad each time you access a Service.  ","Receive/Shared with"
"37"," Cookies.    Cookies are small files that are placed on your computer when you visit a website. Cookies may be used to store a unique identification number tied to your computer or device so that you can be recognized as the same user across one or more browsing sessions, and across one or more sites. Cookies serve many useful purposes. For example:     Cookies can remember your sign-in credentials so you do not have to enter those credentials each time you visit a Service     Cookies can help us and third parties understand which parts of our Services are the most popular because they help us see which pages and features visitors access and how much time they spend on the pages. By studying this kind of information, we are better able to adapt our Services and provide you with a better experience.     Cookies help us and third parties understand which ads you have seen so that you dont receive the same ad each time you access a Service.  ","Receive/Shared with"
"39"," Beacons.    We, along with third parties, also may use technologies called beacons (or pixels) that communicate information from your device to a server. Beacons can be embedded in online content, videos, and emails, and can allow a server to read certain types of information from your device, know when you have viewed particular content or a particular email message, determine the time and date on which you viewed the beacon, and the IP address of your device. We and third parties use beacons for a variety of purposes, including to analyze the use of our Services and (in conjunction with cookies) to provide content and ads that are more relevant to you.  ","Track on first party website/app"
"40"," Local Storage & Other Tracking Technologies.    We, along with third parties, may use other kinds of technologies, such as Local Shared Objects (also referred to as Flash cookies) and HTML5 local storage, in connection with our Services. These technologies are similar to the cookies discussed above in that they are stored on your device and can be used to store certain information about your activities and preferences. However, these technologies may make use of different parts of your device from standard cookies, and so you might not be able to control them using standard browser tools and settings. For HTML5 local storage, the method for disabling HTML5 will vary depending on your browser. For Flash cookies, information about disabling or deleting information contained in Flash cookies can be found here.  ","Track on first party website/app"
"41"," Additional Choices With Respect To Targeted Advertising    As described above, we and third parties may use cookies and other tracking technologies to facilitate serving relevant ads to you. For example, these technologies help us determine whether you have seen a particular advertisement before, tailor ads to you if you have visited our site before, and avoid sending you duplicate advertisements. You can learn more about certain types of targeted advertising by visiting the Digital Advertising Alliance website or our Ad Choices page.  ","Track on first party website/app"
"41"," Additional Choices With Respect To Targeted Advertising    As described above, we and third parties may use cookies and other tracking technologies to facilitate serving relevant ads to you. For example, these technologies help us determine whether you have seen a particular advertisement before, tailor ads to you if you have visited our site before, and avoid sending you duplicate advertisements. You can learn more about certain types of targeted advertising by visiting the Digital Advertising Alliance website or our Ad Choices page.  ","Track on first party website/app"
